Title,English Title,URL,Score,Genre,Season,Studio,Description
Niehime to Kemono no Ou,Sacrificial Princess and the King of Beasts,https://myanimelist.net/anime/46422/Niehime_to_Kemono_no_Ou,7.36,"Fantasy,Romance,Anthropomorphic,Shoujo",Spring 2023,J.C.Staff,"Located at the end of the world, the Kingdom of Ozmargo is inhabited by beasts of all shapes and forms, ruled by a fearsome nameless king. After a hundred-year war between Ozmargo and the neighboring human kingdom ended, a peace treaty was signed: every year, a sacrifice must be sent to be devoured by the king on the night of revelation."
Edens Zero 2nd Season,,https://myanimelist.net/anime/50002/Edens_Zero_2nd_Season,7.43,"Action,Adventure,Fantasy,Sci-Fi,Space,Shounen",Spring 2023,J.C.Staff,"Now in possession of the Edens Zero, Shiki Granbell has gathered the Four Shining Stars. With the help of his new friends, Shiki will be able to breach Dragonfall—the border of the Sakura Cosmos swarming with mechanical dragons. Once that is achieved, he can continue his quest to find the goddess Mother."
Ao no Orchestra,Blue Orchestra,https://myanimelist.net/anime/51614/Ao_no_Orchestra,7.12,"Drama,Music,Performing Arts,School",Spring 2023,Nippon Animation,"Once a prize-winning violin prodigy, Hajime gave up on music after his father, professional violinist Ryuuji Aono, was involved in a scandal that led the media to harass his family. Now living alone with his mother and entering his final year of middle school, Hajime struggles to find a new career path. However, the sound of his classmate Ritsuko Akine playing the violin inspires Hajime to dream of a musical career once more."
Sylvanian Families: Freya no Go for Dream!,,https://myanimelist.net/anime/55948/Sylvanian_Families__Freya_no_Go_for_Dream,N/A,"Slice of Life,Kids",Summer 2023,LandQ studios,"A new animated TV series based on the Sylvanian Families toy line, continuing from "
Ayakashi Triangle,,https://myanimelist.net/anime/50606/Ayakashi_Triangle,6.26,"Action,Comedy,Romance,Supernatural,Ecchi,Magical Sex Shift,Mythology,Shounen",Winter 2023,Connect,"Ayakashi are strange, supernatural creatures invisible to the majority of people. Though most are harmless, some ayakashi attack humans to devour their life force. Exorcist ninjas are tasked with protecting people from these spiteful spirits."
Nanashi Kaidan (2023),,https://myanimelist.net/anime/56105/Nanashi_Kaidan_2023,N/A,Horror,Summer 2023,,No synopsis information has been added to this title. Help improve our database by adding a synopsis 
Ikimono-san,,https://myanimelist.net/anime/54847/Ikimono-san,N/A,"Avant Garde,Comedy",Summer 2023,New Deer,A new series of anime shorts based on Atsushi Wada's original short film and game 
Shadowverse Flame: Seven Shadows-hen,,https://myanimelist.net/anime/54854/Shadowverse_Flame__Seven_Shadows-hen,6.69,"Fantasy,Strategy Game",Summer 2023,Zexcs,Fifth cour of 
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou II",The Misfit of Demon King Academy Ⅱ,https://myanimelist.net/anime/48417/Maou_Gakuin_no_Futekigousha__Shijou_Saikyou_no_Maou_no_Shiso_Tensei_shite_Shison-tachi_no_Gakkou_e_Kayou_II,6.86,"Action,Fantasy,Mythology,Reincarnation,School",Winter 2023,SILVER LINK.,"As peace returns to the demon realm, Anos Voldigoad wishes nothing more than to put his reputation as the Demon King of Tyranny to rest and go back to being a misfit at the prestigious Demon King Academy. Unfortunately, any tranquility is fleeting: sinister demons, kings, and deities plot Anos's demise from the shadows."
Cardfight!! Vanguard: will+Dress Season 3,,https://myanimelist.net/anime/52079/Cardfight_Vanguard__will_Dress_Season_3,6.45,"Action,Strategy Game",Summer 2023,Kinema Citrus,Third season of 
Yami Shibai 11,,https://myanimelist.net/anime/55166/Yami_Shibai_11,5.98,"Avant Garde,Horror,Supernatural",Summer 2023,ILCA,Eleventh season of 
Detective Conan,Case Closed,https://myanimelist.net/anime/235/Detective_Conan,8.17,"Adventure,Comedy,Mystery,Detective,Shounen",Winter 1996,TMS Entertainment,"Shinichi Kudou, a high school student of astounding talent in detective work, is well known for having solved several challenging cases. One day, when Shinichi spots two suspicious men and decides to follow them, he inadvertently becomes witness to a disturbing illegal activity. Unfortunately, he is caught in the act, so the men dose him with an experimental drug formulated by their criminal organization, leaving him to his death. However, to his own astonishment, Shinichi lives to see another day, but now in the body of a seven-year-old child."
Mononogatari 2nd Season,,https://myanimelist.net/anime/54883/Mononogatari_2nd_Season,7.37,"Action,Supernatural,Adult Cast,Mythology,Seinen",Summer 2023,Bandai Namco Pictures,Second Season of 
Synduality: Noir,,https://myanimelist.net/anime/53026/Synduality__Noir,6.82,Sci-Fi,Summer 2023,8bit,"The year is 2222. It has been years since Tears of the New Moon, a mysterious rain, poured and wiped out almost the entire human race. The poisonous rain gave birth to deformed creatures devouring humans, and humanity fled from the danger. As means for survival, the humans then build an underground haven; Amasia. In this newly built dystopian city, in a pursuit of maintaining their existence, they run into an Artificial Intelligence named Magus. Not knowing how things will work between them, the story of how Humans and AI coinciding and trying to find their truths begin. "
Hyakushou Kizoku,,https://myanimelist.net/anime/53426/Hyakushou_Kizoku,6.37,"Comedy,Shoujo",Summer 2023,Pie in the sky,"Before becoming a manga artist, Hiromu Arakawa spent seven years working as a farmer in Hokkaido. Well acquainted with the many emotions that are part and parcel of agricultural work, she captures the harsh realities of Japanese dairy farming while also shedding light on this tough and powerful way of life in a series of sidesplitting episodes. Known for numerous works in which she celebrates the joys of life, in this essay-style comic Arakawa reveals her own roots and little-known truths about farming life."
BanG Dream! It's MyGO!!!!!,,https://myanimelist.net/anime/54959/BanG_Dream_Its_MyGO,7.65,Music,Summer 2023,SANZIGEN,"""Would you be in a band with me for the rest of your life?"""
Dungeon Meshi,Delicious in Dungeon,https://myanimelist.net/anime/52701/Dungeon_Meshi,N/A,"Comedy,Fantasy,Gourmet,Seinen",Summer 2023,Trigger,"After the Golden Kingdom is sunk underground by an insane magician, its king emerges, promising all of his treasure to any who defeat the magician, before crumbling to dust. Guilds are spurred on by this promise, traversing the labyrinthine dungeon in search of the magician. Laios, the leader of one such guild, encounters a dragon that wipes out his party and devours his sister Falin. Despite having lost the entirety of their supplies and belongings, Laios along with Marcille, an elven healer, and Chilchuck, a halfling thief, immediately reenter the dungeon, determined to save Falin."
Naruto (Shinsaku Anime),,https://myanimelist.net/anime/54688/Naruto_Shinsaku_Anime,N/A,"Action,Adventure,Fantasy,Martial Arts,Shounen",Summer 2023,,A new anime project in celebration of 
One Piece,,https://myanimelist.net/anime/21/One_Piece,8.7,"Action,Adventure,Fantasy,Shounen",Fall 1999,Toei Animation,"Barely surviving in a barrel after passing through a terrible whirlpool at sea, carefree Monkey D. Luffy ends up aboard a ship under attack by fearsome pirates. Despite being a naive-looking teenager, he is not to be underestimated. Unmatched in battle, Luffy is a pirate himself who resolutely pursues the coveted One Piece treasure and the King of the Pirates title that comes with it."
Spy Kyoushitsu 2nd Season,Spy Classroom Season 2,https://myanimelist.net/anime/54947/Spy_Kyoushitsu_2nd_Season,7,"Action,Fantasy,Mystery",Summer 2023,feel.,Second season of 
Genjitsu no Yohane: Sunshine in the Mirror,Yohane the Parhelion: Sunshine in the Mirror,https://myanimelist.net/anime/52214/Genjitsu_no_Yohane__Sunshine_in_the_Mirror,7.18,Fantasy,Summer 2023,Sunrise,"""Nobody knows the story of the girl that everybody knows."" Numazu is a scenic port town surrounded by the mountains and the sea. Yohane, a girl who has struggled to fit in with her surroundings since childhood, spends her day avoiding people in the city. What I want to do, my true whereabouts, that is— Walking with a girl that cannot be honest, in a mysterious world you are familiar with. Another sun that has just appeared."
Ayaka,Ayaka: A Story of Bonds and Wounds,https://myanimelist.net/anime/53428/Ayaka,6.15,"Fantasy,Mythology",Summer 2023,Studio Blanc.,"Yanagi Yukito is an orphan who one day encounters an eccentric disciple of his father's. The strange man takes him to his birthplace on Ayakashima, made up of seven islands where mysterious beings called ""Mitama"" and dragons are rumored to reside. There, Yukito meets his father's two other disciples, who protect the harmony of Ayakashima... which soon threatens to collapse."
Sugar Apple Fairy Tale Part 2,,https://myanimelist.net/anime/54842/Sugar_Apple_Fairy_Tale_Part_2,7.69,"Adventure,Fantasy,Romance,Visual Arts,Shoujo",Summer 2023,J.C.Staff,Part two of 
Higeki no Genkyou to Naru Saikyou Gedou Last Boss Joou wa Tami no Tame ni Tsukushimasu.,The Most Heretical Last Boss Queen: From Villainess to Savior,https://myanimelist.net/anime/53438/Higeki_no_Genkyou_to_Naru_Saikyou_Gedou_Last_Boss_Joou_wa_Tami_no_Tame_ni_Tsukushimasu,7.25,"Fantasy,Romance,Isekai,Reincarnation,Josei",Summer 2023,OLM Team Yoshioka,"Pride Royal Ivy is the final boss and all-around scum in the otome game To a Beam of Light With You. She committed innumerable crimes—from enslaving her adopted brother in a soul-binding contract to abusing her position against the servants in the household. In short, she is a villain of pure evil."
Ryza no Atelier: Tokoyami no Joou to Himitsu no Kakurega,Atelier Ryza: Ever Darkness & the Secret Hideout The Animation,https://myanimelist.net/anime/54760/Ryza_no_Atelier__Tokoyami_no_Joou_to_Himitsu_no_Kakurega,6.65,"Adventure,Fantasy",Summer 2023,LIDENFILMS,"From her hometown to her daily life on Kurken Island, everything surrounding Reisalin ""Ryza"" Stout is painfully ordinary. Despite being the daughter of a hardworking farmer, she would rather go on pretend adventures as she explores almost every corner of the island. However, the fact that it is against the local customs to venture off Kurken Island irritates her to no end."
Shiro Seijo to Kuro Bokushi,Saint Cecilia and Pastor Lawrence,https://myanimelist.net/anime/52082/Shiro_Seijo_to_Kuro_Bokushi,7.33,"Comedy,Fantasy,Romance,Shounen",Summer 2023,Doga Kobo,"Dwelling in the small outskirts of a peaceful town, Lawrence works as a local pastor for the townsfolk. When in need, he is responsible for guiding people to the church to visit the ""Saint""—a symbol of good morals who heeds each parishioner's struggles and grants them sincere advice. Cecilia, a kind young girl, is tasked to fulfill this role; however, this tiresome job quickly exhausts her. That, paired with her hidden somnolent nature, often causes her to laze around the church. This leaves Lawrence to care for the church all by himself. While Cecilia sleeps in anticipation for her next visitor, Lawrence caters to her needs alongside performing the church's numerous responsibilities."
Okashi na Tensei,Sweet Reincarnation,https://myanimelist.net/anime/52611/Okashi_na_Tensei,6.6,"Fantasy,Gourmet,Isekai,Reincarnation",Summer 2023,SynergySP,"A promising pâtissier meets his demise and leaves the world without ever having achieved his dream of making the world's greatest pastry. But when he is given another chance, he reincarnates as nine-year-old Pastry Mille Morteln, determined to be successful this second time. His life would not be as sweet as his treats, though, as he encounters unfamiliar hardships in the magical world. To get one step closer to his lifelong desire, Pastry must learn how to fight, utilizing his confectionary knowledge and discovering magic along the way."
Temple,TenPuru: No One Can Live on Loneliness,https://myanimelist.net/anime/54275/Temple,6.79,"Comedy,Romance,Ecchi,Harem",Summer 2023,Gekkou,"Akemitsu Akegami was always told by his father that ""no one can live alone""...but he's sure determined. After all, his father sure wasn't saying it with the best intentions, and Akemitsu has no desire to become like that creep. But when a chance encounter with a young woman leaves him with thoughts that are all too impure, he decides to do what he must—become a Buddhist monk and renounce worldly ways. But the temple he decides to devote himself to...is full of women? And that same young woman is there, too?? What's a guy to do?"
Lv1 Maou to One Room Yuusha,Level 1 Demon Lord and One Room Hero,https://myanimelist.net/anime/51458/Lv1_Maou_to_One_Room_Yuusha,6.92,"Comedy,Fantasy",Summer 2023,SILVER LINK.,"Ten years ago, the hero Max defeated the Demon Lord. In order to regain his power, the Demon Lord went into a deep slumber...but when he awakens, his body is only a chibi version of its fearsome form. Now curious to see what his enemy is up to, the Demon Lord visits Max, only to discover the mighty hero living in a dirty one-room apartment. The Demon Lord decides to move in with Max and help his old enemy become a formidable opponent once more! "
AI no Idenshi,The Gene of AI,https://myanimelist.net/anime/53787/AI_no_Idenshi,6.71,"Drama,Sci-Fi,Suspense,Psychological,Shounen",Summer 2023,Madhouse,"This science fiction omnibus depicting a doctor who ""treats"" robot and humanoid problems takes place in the near future, when humanoids with artificial intelligence account for 10% of the population. The main character, Dr. Sudo Hikaru, also has the undercover name Moggadeet, under which he secretly takes on illegal medical procedures. For example, for a man who inadvertently infected his humanoid wife with a computer virus when illegally backing up her data, Sudo proposes an operation to rewrite her memory using backup data. Could an existence replaced by backup data truly be said to be the same as it was before?"
